aarmm;Aar;Maaned;afd1txt;FagmedTxt;sygdom_dv;ansatte_dv;mulige_dvdage;fproc_dv;sygdom_kal;ansatte_kal;mulige_kaldage;fravproc_kal
201101;2011;1;Børne- og Ungeforvaltningen;FagMED Dagtilbud;2321,337838;1548,592663;32520,44595;0,07138;3052;1680,064516;52082;0,0585999
201101;2011;1;Børne- og Ungeforvaltningen;FagMED Familie, forebyggelse og stab;478,5135135;443,0614541;9304,29054;0,051429;698;498,0645161;15440;0,045207253
201101;2011;1;Børne- og Ungeforvaltningen;FagMED Uddannelse & Læring;2315,764811;1907,294136;40053,17686;0,057817;3028;2030,870968;62957;0,048096319
201101;2011;1;Kommunaldirektørens område;Kommunaldirektørens stabe;69,72972973;107,4378378;2256,194595;0,030905;78;110;3410;0,0228739
201101;2011;1;Kultur & Sundhed;FagMED Kultur & Borgerservice;324,41976;292,755362;6147,862604;0,052769;472;334,1935483;10360;0,045559845
201101;2011;1;Kultur & Sundhed;FagMED Sundhed;143,8928262;118,4448712;2487,342297;0,05785;206;137,7096774;4269;0,04825486
201101;2011;1;Teknik & Miljø;FagMED Teknik & Miljø;539,3851351;490,9663448;10310,29324;0,052315;666;502,0645161;15564;0,042791056
201101;2011;1;Uden for organisationen;;12,59459459;62,38481337;1310,081081;0,009613;15;62,9032258;1950;0,007692307
201101;2011;1;Uden for organisationen;FagMED Kultur & Borgerservice;3;8,864864862;186,1621622;0,016114;3;8,999999998;279;0,010752688
201101;2011;1;Velfærdsforvaltningen;FagMED Administration Velfærd;240,8716216;161,5933719;3393,460811;0,070981;321;166,6129032;5165;0,06214908
201101;2011;1;Velfærdsforvaltningen;FagMED Senior;2224,634784;1582,973855;33242,45097;0,066921;3510;1769,096774;54842;0,064002042
201101;2011;1;Velfærdsforvaltningen;FagMED Voksen Drift;1802,310811;1117,751891;23472,78973;0,076782;2701;1221,774193;37875;0,071313531
201101;2011;1;Velfærdsforvaltningen;Plejecenter Solgaven;149,6872973;54,26848645;1139,638216;0,131346;239;63,99999999;1984;0,120463709
201101;2011;1;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Arbejdsmarkedsområdet;372,2702703;292,2686614;6137,641892;0,060653;507;306,7096774;9508;0,053323517
201101;2011;1;Økonomi- & Arbejdsmarkedsforvaltningen;FagMED Økonomi & Administration;60,2667027;91,03289187;1911,69073;0,031525;76;93,99999998;2914;0,026080988
201102;2011;2;Børne- og Ungeforvaltningen;FagMED Dagtilbud;1683,378378;1531,189189;30623,78378;0,054969;2189;1665,821428;46643;0,046930943
201102;2011;2;Børne- og Ungeforvaltningen;FagMED Familie, forebyggelse og stab;363,1081081;437,7905404;8755,810811;0,04147;499;492,25;13783;0,036204019
201102;2011;2;Børne- og Ungeforvaltningen;FagMED Uddannelse & Læring;1457,206649;1906,198189;38123,96378;0,038222;1826;2027,535714;56771;0,032164309
201102;2011;2;Kommunaldirektørens område;Kommunaldirektørens stabe;68;107,0878378;2141,756757;0,031749;83;109,6785714;3071;0,027027027
